date,winner,loser,weight_class,method,round,time_minutes,winner_strikes_landed,winner_strikes_attempted,loser_strikes_landed,loser_strikes_attempted,winner_takedowns,winner_takedown_attempts,loser_takedowns,loser_takedown_attempts
2024-03-09,Jon Jones,Stipe Miocic,Heavyweight,TKO,3,2.14,78,134,45,89,1,2,0,1
2024-02-17,Alexander Volkanovski,Islam Makhachev,Lightweight,Decision,5,25.0,145,267,134,234,2,5,3,8
2024-01-20,Conor McGregor,Michael Chandler,Lightweight,KO/TKO,2,3.45,67,98,23,45,0,1,1,3
2023-12-16,Leon Edwards,Colby Covington,Welterweight,Decision,5,25.0,178,312,156,278,1,3,2,6
2023-11-11,Sean Strickland,Israel Adesanya,Middleweight,Decision,5,25.0,189,334,134,223,0,2,1,4
2023-10-21,Tom Aspinall,Sergei Pavlovich,Heavyweight,KO/TKO,1,1.09,23,34,8,15,0,0,0,1
2023-09-09,Alex Pereira,Israel Adesanya,Middleweight,KO/TKO,5,2.01,89,145,78,134,0,1,2,5
2023-08-19,Islam Makhachev,Charles Oliveira,Lightweight,Submission,2,3.16,45,78,56,89,4,6,1,2
2023-07-08,Jon Jones,Ciryl Gane,Heavyweight,Submission,1,2.04,15,23,8,15,0,0,0,1
2023-06-10,Alexander Volkanovski,Yair Rodriguez,Featherweight,Submission,3,4.19,123,201,67,134,1,2,0,2
2023-05-13,Aljamain Sterling,Henry Cejudo,Bantamweight,Decision,5,25.0,167,289,123,201,3,7,2,4
2023-04-08,Kamaru Usman,Leon Edwards,Welterweight,Decision,5,25.0,201,356,145,267,4,9,1,3
2023-03-04,Amanda Nunes,Irene Aldana,Women's Bantamweight,Decision,5,25.0,134,234,89,156,2,4,0,2
2023-02-11,Islam Makhachev,Alexander Volkanovski,Lightweight,Decision,5,25.0,112,187,75,134,6,11,0,2
2023-01-21,Jamahal Hill,Glover Teixeira,Light Heavyweight,Decision,5,25.0,189,323,134,223,1,3,2,5
2022-12-10,Leon Edwards,Kamaru Usman,Welterweight,KO/TKO,5,3.04,67,124,89,156,2,5,4,8
2022-11-12,Islam Makhachev,Charles Oliveira,Lightweight,Submission,2,3.16,34,67,45,78,3,5,1,3
2022-10-22,Alexander Volkanovski,Max Holloway,Featherweight,Decision,5,25.0,143,234,98,187,2,4,0,1
2022-09-10,Israel Adesanya,Alex Pereira,Middleweight,KO/TKO,5,1.18,89,167,76,145,0,2,1,3
2022-08-20,Kamaru Usman,Leon Edwards,Welterweight,Decision,5,25.0,134,245,67,123,5,9,2,4
2022-07-02,Israel Adesanya,Jared Cannonier,Middleweight,Decision,5,25.0,112,189,43,87,0,1,2,6
2022-06-11,Alexander Volkanovski,Max Holloway,Featherweight,Decision,5,25.0,156,278,134,245,1,3,0,2
2022-05-07,Charles Oliveira,Justin Gaethje,Lightweight,Submission,1,3.22,22,45,18,34,1,2,0,1
2022-04-09,Rose Namajunas,Carla Esparza,Women's Strawweight,Decision,5,25.0,78,134,89,156,0,2,1,4
2022-03-05,Jon Jones,Anthony Smith,Light Heavyweight,Decision,5,25.0,165,289,87,156,4,7,1,3
2022-02-12,Israel Adesanya,Robert Whittaker,Middleweight,Decision,5,25.0,134,234,98,167,0,2,3,8
2022-01-22,Francis Ngannou,Ciryl Gane,Heavyweight,Decision,5,25.0,78,134,89,145,5,8,1,2
2021-12-11,Charles Oliveira,Dustin Poirier,Lightweight,Submission,3,2.32,67,123,89,156,2,4,1,3
2021-11-06,Kamaru Usman,Colby Covington,Welterweight,Decision,5,25.0,189,345,167,298,3,6,2,5
2021-10-30,Islam Makhachev,Dan Hooker,Lightweight,Submission,1,2.25,12,23,8,15,2,2,0,1
2021-09-25,Alexander Volkanovski,Brian Ortega,Featherweight,Decision,5,25.0,201,367,123,234,1,2,0,3
2021-08-07,Kamaru Usman,Jorge Masvidal,Welterweight,KO/TKO,2,1.02,34,56,21,38,1,2,0,1
2021-07-10,Dustin Poirier,Conor McGregor,Lightweight,TKO,1,4.20,43,78,32,67,0,1,1,3
2021-06-12,Israel Adesanya,Marvin Vettori,Middleweight,Decision,5,25.0,123,223,87,156,0,1,2,6
2021-05-15,Charles Oliveira,Michael Chandler,Lightweight,KO/TKO,2,0.19,23,34,18,29,0,0,1,2
2021-04-24,Kamaru Usman,Jorge Masvidal,Welterweight,KO/TKO,2,1.02,45,67,23,34,2,3,0,1
2021-03-27,Alexander Volkanovski,Brian Ortega,Featherweight,Decision,5,25.0,178,312,134,245,2,4,1,2
2021-02-13,Israel Adesanya,Paulo Costa,Middleweight,TKO,2,3.59,67,89,23,45,0,0,1,3
2021-01-23,Conor McGregor,Donald Cerrone,Welterweight,TKO,1,0.40,15,18,3,8,0,0,0,1
2020-12-12,Max Holloway,Calvin Kattar,Featherweight,Decision,5,25.0,445,744,133,275,0,2,1,4
2020-11-21,Jon Jones,Dominick Reyes,Light Heavyweight,Decision,5,25.0,156,289,134,234,2,5,1,3
2020-10-24,Khabib Nurmagomedov,Justin Gaethje,Lightweight,Submission,2,1.34,21,34,14,26,4,4,0,1
2020-09-26,Israel Adesanya,Paulo Costa,Middleweight,TKO,2,3.59,89,134,34,67,0,0,2,5
2020-08-15,Stipe Miocic,Daniel Cormier,Heavyweight,Decision,5,25.0,134,234,123,201,3,6,2,4
2020-07-11,Kamaru Usman,Jorge Masvidal,Welterweight,Decision,5,25.0,189,334,87,156,5,9,1,3
2020-06-06,Alexander Volkanovski,Max Holloway,Featherweight,Decision,5,25.0,167,298,145,267,1,3,0,1
2020-05-09,Justin Gaethje,Tony Ferguson,Lightweight,TKO,5,3.39,143,234,89,167,2,4,1,5
2020-04-18,Francis Ngannou,Jairzinho Rozenstruik,Heavyweight,KO/TKO,1,0.20,8,12,2,5,0,0,0,0
2020-03-07,Israel Adesanya,Yoel Romero,Middleweight,Decision,5,25.0,78,145,67,123,0,2,3,7
2020-02-08,Jon Jones,Dominick Reyes,Light Heavyweight,Decision,5,25.0,123,223,134,245,1,4,2,3
2020-01-18,Conor McGregor,Donald Cerrone,Welterweight,TKO,1,0.40,19,23,5,12,0,0,0,1
2019-12-14,Alexander Volkanovski,Max Holloway,Featherweight,Decision,5,25.0,134,245,123,223,2,5,0,2
2019-11-02,Jorge Masvidal,Nate Diaz,Welterweight,TKO,3,4.04,167,289,134,234,1,3,0,2
2019-10-05,Khabib Nurmagomedov,Dustin Poirier,Lightweight,Submission,3,2.28,89,134,67,123,7,8,0,1
2019-09-07,Israel Adesanya,Robert Whittaker,Middleweight,KO/TKO,2,3.33,78,123,45,89,0,0,1,4
2019-08-17,Stipe Miocic,Daniel Cormier,Heavyweight,KO/TKO,4,4.09,123,201,98,167,2,5,4,7
2019-07-06,Jon Jones,Thiago Santos,Light Heavyweight,Decision,5,25.0,145,267,123,201,0,2,2,6
2019-06-08,Tony Ferguson,Donald Cerrone,Lightweight,TKO,2,5.00,89,145,56,98,1,3,0,2
2019-05-11,Jessica Andrade,Rose Namajunas,Women's Strawweight,KO/TKO,2,2.58,34,67,23,45,1,2,0,1
2019-04-13,Max Holloway,Dustin Poirier,Lightweight,Decision,5,25.0,201,356,167,298,1,4,2,5
2019-03-02,Kamaru Usman,Tyron Woodley,Welterweight,Decision,5,25.0,189,334,78,145,5,11,1,2
2019-02-09,Jon Jones,Anthony Smith,Light Heavyweight,Decision,5,25.0,178,312,89,156,3,6,0,2
2019-01-19,T.J. Dillashaw,Cory Sandhagen,Bantamweight,Decision,5,25.0,156,278,134,223,2,5,1,4
2018-12-08,Daniel Cormier,Derrick Lewis,Heavyweight,Submission,2,2.14,45,78,23,45,3,4,0,1
2018-11-03,Israel Adesanya,Derek Brunson,Middleweight,TKO,1,4.51,34,56,18,34,0,0,1,3
2018-10-06,Khabib Nurmagomedov,Conor McGregor,Lightweight,Submission,4,3.03,67,98,78,134,6,8,0,2
2018-09-08,Tyron Woodley,Darren Till,Welterweight,Submission,2,4.25,56,89,45,78,2,3,1,2
2018-08-25,Amanda Nunes,Raquel Pennington,Women's Bantamweight,TKO,5,1.40,89,134,34,67,0,1,2,4
